Date,Week,ID,DOY,Pond,Phosphorus,Chloride,Turbidity,TSS,C,TDS,SAL,pH,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Precip mm,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Snow Present
20-12-2019,1,1.1,354,Yarmouth Outflow,49,400,0.66,1.07084,1256,1228.5,0.96,8.4,-5.1,-11.4,-8.3,26.3,0,0,,M,,
21-12-2019,1,1.2,355,Yarmouth Outflow,30,319.3,0.29,0.344828,1425,1241.5,0.98,8.02,2.5,-8.8,-3.2,21.2,0,0,,M,,
22-12-2019,1,1.3,356,Yarmouth Outflow,41,324,0.32,0.689655,1444,1241.5,0.98,8,5.1,-2,1.6,16.4,0,0,23,,35,
23-12-2019,1,1.4,357,Yarmouth Outflow,30,349.7,0.68,0.666667,1494,1300,1.03,7.97,7.2,-1.7,2.8,15.2,0,0,25,,48,
24-12-2019,1,1.5,358,Yarmouth Outflow,30,363.5,0.355,0.333333,1459,1293.5,1.02,7.88,0.3,-5.4,-2.6,20.6,0,0,10,,33,
25-12-2019,1,1.6,359,Yarmouth Outflow,56,374.6,0.87,1.222222222,1495,1280.5,1.01,7.93,3.2,-2.3,0.5,17.5,0,0,,M,,
26-12-2019,1,1.7,360,Yarmouth Outflow,31,294.5,0.785,0.887096774,1310,1124.5,0.88,7.89,2.7,0,1.4,16.6,0,0,,M,,
27-12-2019,2,2.1,361,Yarmouth Outflow,100,276.1,0.425,1.076923077,1184,1079,0.84,8.02,10.2,1.5,5.9,12.1,0,0,26,,50,
28-12-2019,2,2.2,362,Yarmouth Outflow,63,258.6,1.4,1.230769231,1159,1020.5,0.8,8.05,2.8,-3.7,-0.5,18.5,0,0,27,,35,
29-12-2019,2,2.3,363,Yarmouth Outflow,58,211.5,0.87,0.833333333,1044,916,0.71,7.88,1.4,-3.4,-1,19,0,6.4,9,,46,
30-12-2019,2,2.4,364,Yarmouth Outflow,214,228.5,6.76,12.93333333,623,552.5,0.42,7.6,8.4,0.3,4.4,13.6,0,5.5,8,,68,
31-12-2019,2,2.5,365,Yarmouth Outflow,106,167.1,4.435,3.68,753,650,0.5,8.04,0.7,-2.7,-1,19,0,1.6,22,,55,
01-01-2020,2,2.6,1,Yarmouth Outflow,82,194.1,1.775,2.666666667,928,780,0.6,8.07,-1.2,-5.1,-3.2,21.2,0,0,27,,52,0
02-01-2020,2,2.7,2,Yarmouth Outflow,39,242,2.49,3.165467626,1107,838.5,0.65,8.17,4.8,-1.1,1.9,16.1,0,0,21,,52,0
03-01-2020,3,3.1,3,Yarmouth Outflow,108,214,3.56,9.76744186,767,767,0.59,8.05,5.4,1.5,3.5,14.5,0,0,,M,,0
